#{"t_start": 1761919861.099034, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
225.0,2973,703.764278
175.0,2125,704.814405
275.0,2895,706.248311
415.0,3015,707.746886
460.0,2997,709.239358
100.0,1433,709.946238
350.0,4147,711.998039
265.0,2717,716.541571
325.0,2719,717.87822
375.0,4009,719.853534
265.0,3185,721.425048
370.0,3203,722.993726
185.0,2055,724.015312
715.0,3643,725.794115
475.0,3631,727.582079
400.0,3369,729.244351
540.0,4775,731.552056
310.0,2087,732.582523
370.0,3335,734.207193
430.0,3604,735.983805
490.0,2783,737.337354
565.0,3003,738.792898
570.0,3473,740.46953
390.0,3021,741.934733
570.0,3503,743.619525
610.0,4007,745.540585
205.0,3339,747.190517
270.0,3353,748.852285
430.0,3925,750.797346
255.0,3023,752.295901
325.0,2247,753.40648
335.0,2416,754.592158
305.0,2655,755.902269
80.0,1453,756.622274
380.0,2845,758.028627
255.0,2679,759.342147
420.0,3389,760.995028
325.0,3607,762.736608
345.0,2747,764.072063
220.0,2041,765.061062
370.0,3973,772.023797
525.0,4389,774.12252
755.0,4157,776.164193
300.0,2705,777.484979
540.0,3887,779.437226
260.0,2337,780.687495
170.0,1895,781.688854
280.0,2417,782.914642
435.0,3471,784.620636
230.0,2347,785.776867
240.0,2261,786.909025
445.0,3379,788.571171
365.0,3435,790.252057
110.0,1903,791.176571
185.0,2061,792.17679
400.0,2895,793.581114
105.0,1451,794.274968
305.0,2791,795.623489
360.0,2563,796.862876
120.0,1835,797.747246
800.0,4511,799.933893
435.0,2585,801.216976
785.0,4141,803.220452
90.0,1439,803.926697
105.0,1823,804.829883
190.0,2245,805.937757
445.0,2715,807.244846
445.0,4145,809.229355
385.0,2759,810.555709
550.0,4525,812.73203
390.0,3147,814.27535
325.0,3199,815.857656
90.0,1399,816.55306
440.0,3729,818.386156
970.0,6435,825.372766
545.0,2703,826.697188
405.0,3307,828.333437
525.0,3293,829.943777
605.0,3373,831.607565
145.0,1935,832.572179
350.0,2599,833.839766
395.0,3129,835.334025
415.0,3547,837.039102
575.0,3461,838.754072
395.0,3187,840.295936
550.0,3901,842.161612
45.0,1493,842.882032
360.0,2447,844.053091
305.0,3375,845.677259
200.0,1959,846.631729
230.0,2601,847.89702
375.0,3045,849.363984
500.0,2983,850.796698
615.0,3363,852.430401
600.0,4915,854.82717
810.0,3351,856.452758
